170 days,,124 days,,77 days,,28 days,,0 days,
3.99159E-05,208.5366516,3.99285E-05,230.9535217,3.99452E-05,251.2739105,4.0029E-05,272.5992432,3.9994E-05,290.9372864
4.09147E-05,212.3643494,4.09273E-05,235.3557739,4.09439E-05,256.2079163,4.10278E-05,278.0299683,4.09928E-05,296.7279663
4.19135E-05,216.029953,4.1926E-05,239.7327728,4.19427E-05,261.0069885,4.20266E-05,283.3406982,4.19915E-05,302.5329285
4.29122E-05,219.5344849,4.29248E-05,243.8739166,4.29414E-05,265.6750488,4.30253E-05,288.5256958,4.29903E-05,308.1108704
4.3911E-05,222.9591064,4.39235E-05,247.9305267,4.39402E-05,270.2719727,4.40241E-05,293.6278381,4.3989E-05,313.6080322
4.49097E-05,226.2146149,4.49223E-05,251.8627014,4.49389E-05,274.77948,4.50228E-05,298.5958862,4.49878E-05,319.0116882
4.59085E-05,229.4068451,4.59211E-05,255.6159973,4.59377E-05,279.0692444,4.60216E-05,303.4375305,4.59865E-05,324.2827454
4.69072E-05,232.3917847,4.69198E-05,259.1920776,4.69365E-05,283.2660217,4.70204E-05,308.160553,4.69853E-05,329.3521423
4.7906E-05,235.235611,4.79186E-05,262.6259155,4.79352E-05,287.2977295,4.80191E-05,312.7611084,4.79841E-05,334.2889404
4.89047E-05,237.9993134,4.89173E-05,265.9275513,4.8934E-05,291.1356506,4.90179E-05,317.2042847,4.89828E-05,339.1166077
4.98972E-05,240.694519,4.99161E-05,269.0670471,4.99327E-05,294.801178,5.00166E-05,321.4701843,4.99816E-05,343.8045654
5.09081E-05,243.339035,5.09461E-05,272.1695862,5.09627E-05,298.3971863,5.10465E-05,325.6641235,5.10116E-05,348.4171143
5.19189E-05,245.8696442,5.19761E-05,275.0849609,5.19926E-05,301.7762146,5.20765E-05,329.644043,5.20416E-05,352.9480591
5.29298E-05,248.3424225,5.3006E-05,277.9066467,5.30226E-05,304.9505615,5.31065E-05,333.4249573,5.30714E-05,357.232666
5.39563E-05,250.7620697,5.4036E-05,280.5983582,5.40526E-05,307.9768066,5.41365E-05,336.9237976,5.41014E-05,361.3244934
5.49863E-05,253.047699,5.50659E-05,283.0970459,5.50826E-05,310.7827148,5.51664E-05,340.1455383,5.51314E-05,365.0532837
5.60162E-05,255.2227173,5.60959E-05,285.4736023,5.61125E-05,313.3839722,5.61964E-05,343.01474,5.61614E-05,368.2901917
5.70461E-05,257.3104553,5.71258E-05,287.6887512,5.71425E-05,315.7416687,5.72264E-05,345.5447083,5.71913E-05,371.145874
5.80761E-05,259.3105774,5.81558E-05,289.72052,5.81725E-05,317.8959351,5.82564E-05,347.8373718,5.82213E-05,373.6700439
5.91061E-05,261.1965637,5.91858E-05,291.6412964,5.92025E-05,319.9060059,5.92863E-05,349.9707642,5.92513E-05,376.013092
6.0136E-05,262.9739075,6.02158E-05,293.4308472,6.02324E-05,321.7872925,6.03162E-05,351.9997253,6.02813E-05,378.1412964
6.1166E-05,264.643219,6.12457E-05,295.1187134,6.12624E-05,323.5826416,6.13462E-05,353.8535461,6.13111E-05,380.1407166
6.2196E-05,266.2290344,6.22757E-05,296.7297058,6.22924E-05,325.2618408,6.23762E-05,355.6228943,6.23411E-05,382.0185242
6.3226E-05,267.7330322,6.33057E-05,298.2632141,6.33223E-05,326.8571777,6.34061E-05,357.3100891,6.33711E-05,383.795105
6.4256E-05,269.144928,6.43356E-05,299.712616,6.43523E-05,328.3831482,6.44361E-05,358.9237976,6.44011E-05,385.5274048
6.52859E-05,270.4889526,6.53655E-05,301.1105042,6.53822E-05,329.8470459,6.54661E-05,360.4820557,6.5431E-05,387.1851501
6.63102E-05,271.7979431,6.63956E-05,302.4551697,6.64122E-05,331.2669373,6.64961E-05,361.986145,6.6461E-05,388.8054504
6.73147E-05,273.0689392,6.74255E-05,303.7398071,6.74422E-05,332.6350098,6.7526E-05,363.4459229,6.7491E-05,390.3652039
6.83447E-05,274.2921753,6.84555E-05,304.9835205,6.84424E-05,333.9710388,6.8556E-05,364.8635864,6.8521E-05,391.8748779
6.93746E-05,275.4718018,6.94854E-05,306.2011414,6.94723E-05,335.2719421,6.9586E-05,366.2415466,6.9551E-05,393.328186
7.04046E-05,276.6126709,7.05154E-05,307.3726196,7.05023E-05,336.5274963,7.0616E-05,367.5935669,7.05809E-05,394.732605
7.14346E-05,277.7303162,7.15454E-05,308.5133362,7.15322E-05,337.7562866,7.16459E-05,368.9143066,7.16109E-05,396.1073608
7.24646E-05,278.8162537,7.25754E-05,309.6308899,7.25622E-05,338.9423218,7.26758E-05,370.1975403,7.26409E-05,397.4598389
7.34945E-05,279.8597412,7.36053E-05,310.711792,7.35572E-05,340.0956116,7.37058E-05,371.4562683,7.36708E-05,398.7643433
7.44987E-05,280.863739,7.46353E-05,311.7693176,7.45624E-05,341.2173157,7.47358E-05,372.6932068,7.47007E-05,400.0570679
7.55287E-05,281.8417664,7.56653E-05,312.8145447,7.55924E-05,342.3033142,7.57658E-05,373.9118042,7.57278E-05,401.3005371
7.65376E-05,282.7942505,7.66953E-05,313.8301086,7.66224E-05,343.3779297,7.67957E-05,375.1026306,7.67379E-05,402.5281372
7.75604E-05,283.7160645,7.77252E-05,314.8182678,7.76349E-05,344.4243469,7.78257E-05,376.2640381,7.77538E-05,403.7133789
