# Mesh: Mesh_1
# Control: Aspect Ratio 3D
#
   1.00909         	   1.03653         	       607         
   1.03653         	   1.06398         	      3495         
   1.06398         	   1.09143         	      9722         
   1.09143         	   1.11887         	     18827         
   1.11887         	   1.14632         	     29886         
   1.14632         	   1.17377         	     40511         
   1.17377         	   1.20121         	     50801         
   1.20121         	   1.22866         	     58721         
   1.22866         	   1.25611         	     63368         
   1.25611         	   1.28356         	     65133         
   1.28356         	     1.311         	     64466         
     1.311         	   1.33845         	     61401         
   1.33845         	    1.3659         	     56200         
    1.3659         	   1.39334         	     51458         
   1.39334         	   1.42079         	     44937         
   1.42079         	   1.44824         	     39097         
   1.44824         	   1.47568         	     33479         
   1.47568         	   1.50313         	     28003         
   1.50313         	   1.53058         	     22902         
   1.53058         	   1.55803         	     18930         
   1.55803         	   1.58547         	     15073         
   1.58547         	   1.61292         	     12207         
   1.61292         	   1.64037         	      9445         
   1.64037         	   1.66781         	      7427         
   1.66781         	   1.69526         	      5835         
   1.69526         	   1.72271         	      4576         
   1.72271         	   1.75015         	      3476         
   1.75015         	    1.7776         	      2655         
    1.7776         	   1.80505         	      2060         
   1.80505         	    1.8325         	      1540         
    1.8325         	   1.85994         	      1138         
   1.85994         	   1.88739         	       843         
   1.88739         	   1.91484         	       643         
   1.91484         	   1.94228         	       469         
   1.94228         	   1.96973         	       363         
   1.96973         	   1.99718         	       277         
   1.99718         	   2.02462         	       196         
   2.02462         	   2.05207         	       158         
   2.05207         	   2.07952         	       135         
   2.07952         	   2.10696         	        83         
   2.10696         	   2.13441         	        72         
   2.13441         	   2.16186         	        38         
   2.16186         	   2.18931         	        31         
   2.18931         	   2.21675         	        27         
   2.21675         	    2.2442         	        27         
    2.2442         	   2.27165         	        22         
   2.27165         	   2.29909         	         9         
   2.29909         	   2.32654         	        11         
   2.32654         	   2.35399         	         8         
   2.35399         	   2.38143         	         4         
   2.38143         	   2.40888         	         7         
   2.40888         	   2.43633         	         0         
   2.43633         	   2.46378         	         2         
   2.46378         	   2.49122         	         2         
   2.49122         	   2.51867         	         1         
   2.51867         	   2.54612         	         2         
   2.54612         	   2.57356         	         0         
   2.57356         	   2.60101         	         1         
   2.60101         	   2.62846         	         0         
   2.62846         	    2.6559         	         0         
    2.6559         	   2.68335         	         0         
   2.68335         	    2.7108         	         0         
    2.7108         	   2.73825         	         0         
   2.73825         	   2.76569         	         1         
