# Mesh: Mesh_1
# Control: Aspect Ratio 3D
#
   1.00391         	   1.03334         	      7795         
   1.03334         	   1.06278         	     74485         
   1.06278         	   1.09221         	    235654         
   1.09221         	   1.12164         	    476134         
   1.12164         	   1.15108         	    760616         
   1.15108         	   1.18051         	   1046811         
   1.18051         	   1.20994         	   1282187         
   1.20994         	   1.23938         	   1444995         
   1.23938         	   1.26881         	   1531458         
   1.26881         	   1.29824         	   1531255         
   1.29824         	   1.32767         	   1462993         
   1.32767         	   1.35711         	   1354154         
   1.35711         	   1.38654         	   1213149         
   1.38654         	   1.41597         	   1061286         
   1.41597         	   1.44541         	    908210         
   1.44541         	   1.47484         	    761668         
   1.47484         	   1.50427         	    631480         
   1.50427         	   1.53371         	    511466         
   1.53371         	   1.56314         	    410351         
   1.56314         	   1.59257         	    323515         
   1.59257         	     1.622         	    252017         
     1.622         	   1.65144         	    193907         
   1.65144         	   1.68087         	    147269         
   1.68087         	    1.7103         	    111426         
    1.7103         	   1.73974         	     83286         
   1.73974         	   1.76917         	     61490         
   1.76917         	    1.7986         	     45407         
    1.7986         	   1.82804         	     33545         
   1.82804         	   1.85747         	     24449         
   1.85747         	    1.8869         	     18036         
    1.8869         	   1.91633         	     13285         
   1.91633         	   1.94577         	      9379         
   1.94577         	    1.9752         	      6998         
    1.9752         	   2.00463         	      5102         
   2.00463         	   2.03407         	      3722         
   2.03407         	    2.0635         	      2786         
    2.0635         	   2.09293         	      2037         
   2.09293         	   2.12237         	      1506         
   2.12237         	    2.1518         	      1073         
    2.1518         	   2.18123         	       807         
   2.18123         	   2.21066         	       583         
   2.21066         	    2.2401         	       458         
    2.2401         	   2.26953         	       340         
   2.26953         	   2.29896         	       218         
   2.29896         	    2.3284         	       183         
    2.3284         	   2.35783         	       142         
   2.35783         	   2.38726         	       104         
   2.38726         	    2.4167         	        76         
    2.4167         	   2.44613         	        48         
   2.44613         	   2.47556         	        35         
   2.47556         	   2.50499         	        27         
   2.50499         	   2.53443         	        17         
   2.53443         	   2.56386         	        20         
   2.56386         	   2.59329         	         7         
   2.59329         	   2.62273         	         5         
   2.62273         	   2.65216         	         7         
   2.65216         	   2.68159         	         3         
   2.68159         	   2.71103         	         4         
   2.71103         	   2.74046         	         2         
   2.74046         	   2.76989         	         1         
   2.76989         	   2.79932         	         0         
   2.79932         	   2.82876         	         1         
   2.82876         	   2.85819         	         0         
   2.85819         	   2.88762         	         1         
