# Mesh: design1-2
# Control: Aspect Ratio 3D
#
   1.00642         	   1.10856         	    301196         
   1.10856         	   1.21069         	   2293370         
   1.21069         	   1.31283         	   4120343         
   1.31283         	   1.41497         	   4264845         
   1.41497         	   1.51711         	   3423179         
   1.51711         	   1.61925         	   2406092         
   1.61925         	   1.72139         	   1518099         
   1.72139         	   1.82353         	    848524         
   1.82353         	   1.92567         	    419310         
   1.92567         	    2.0278         	    187318         
    2.0278         	   2.12994         	     78752         
   2.12994         	   2.23208         	     31819         
   2.23208         	   2.33422         	     13256         
   2.33422         	   2.43636         	      6446         
   2.43636         	    2.5385         	      3642         
    2.5385         	   2.64064         	      2301         
   2.64064         	   2.74278         	      1509         
   2.74278         	   2.84491         	      1019         
   2.84491         	   2.94705         	       768         
   2.94705         	   3.04919         	       572         
   3.04919         	   3.15133         	       375         
   3.15133         	   3.25347         	       275         
   3.25347         	   3.35561         	       225         
   3.35561         	   3.45775         	       203         
   3.45775         	   3.55989         	       130         
   3.55989         	   3.66202         	       128         
   3.66202         	   3.76416         	        79         
   3.76416         	    3.8663         	        72         
    3.8663         	   3.96844         	        56         
   3.96844         	   4.07058         	        56         
   4.07058         	   4.17272         	        47         
   4.17272         	   4.27486         	        30         
   4.27486         	     4.377         	        16         
     4.377         	   4.47913         	        19         
   4.47913         	   4.58127         	        11         
   4.58127         	   4.68341         	        17         
   4.68341         	   4.78555         	        13         
   4.78555         	   4.88769         	         9         
   4.88769         	   4.98983         	         6         
   4.98983         	   5.09197         	         2         
   5.09197         	   5.19411         	         5         
   5.19411         	   5.29624         	         2         
   5.29624         	   5.39838         	         3         
   5.39838         	   5.50052         	         3         
   5.50052         	   5.60266         	         1         
   5.60266         	    5.7048         	         0         
    5.7048         	   5.80694         	         1         
   5.80694         	   5.90908         	         1         
   5.90908         	   6.01122         	         1         
   6.01122         	   6.11335         	         3         
   6.11335         	   6.21549         	         0         
   6.21549         	   6.31763         	         1         
   6.31763         	   6.41977         	         1         
   6.41977         	   6.52191         	         0         
   6.52191         	   6.62405         	         1         
   6.62405         	   6.72619         	         0         
   6.72619         	   6.82833         	         0         
   6.82833         	   6.93046         	         0         
   6.93046         	    7.0326         	         0         
    7.0326         	   7.13474         	         0         
   7.13474         	   7.23688         	         0         
   7.23688         	   7.33902         	         0         
   7.33902         	   7.44116         	         0         
   7.44116         	    7.5433         	         1         
