# Mesh: cup.mesh-out.mesh.mesh
# Control: Aspect Ratio 3D
#
   1.00759         	   1.08423         	    254504         
   1.08423         	   1.16087         	   2331175         
   1.16087         	   1.23751         	   5410567         
   1.23751         	   1.31415         	   7291796         
   1.31415         	   1.39079         	   7478777         
   1.39079         	   1.46743         	   6571708         
   1.46743         	   1.54407         	   5281756         
   1.54407         	   1.62071         	   3971410         
   1.62071         	   1.69735         	   2821730         
   1.69735         	     1.774         	   1886269         
     1.774         	   1.85064         	   1177308         
   1.85064         	   1.92728         	    680577         
   1.92728         	   2.00392         	    366194         
   2.00392         	   2.08056         	    184917         
   2.08056         	    2.1572         	     87609         
    2.1572         	   2.23384         	     40015         
   2.23384         	   2.31048         	     17382         
   2.31048         	   2.38712         	      7705         
   2.38712         	   2.46376         	      3668         
   2.46376         	    2.5404         	      1981         
    2.5404         	   2.61704         	      1051         
   2.61704         	   2.69368         	       600         
   2.69368         	   2.77032         	       411         
   2.77032         	   2.84696         	       253         
   2.84696         	    2.9236         	       194         
    2.9236         	   3.00024         	       128         
   3.00024         	   3.07688         	        85         
   3.07688         	   3.15352         	        42         
   3.15352         	   3.23016         	        54         
   3.23016         	    3.3068         	        38         
    3.3068         	   3.38344         	        22         
   3.38344         	   3.46008         	        17         
   3.46008         	   3.53672         	        17         
   3.53672         	   3.61336         	        17         
   3.61336         	      3.69         	        16         
      3.69         	   3.76664         	        12         
   3.76664         	   3.84328         	         7         
   3.84328         	   3.91992         	         8         
   3.91992         	   3.99656         	         4         
   3.99656         	    4.0732         	         4         
    4.0732         	   4.14985         	         3         
   4.14985         	   4.22649         	         1         
   4.22649         	   4.30313         	         3         
   4.30313         	   4.37977         	         3         
   4.37977         	   4.45641         	         1         
   4.45641         	   4.53305         	         0         
   4.53305         	   4.60969         	         3         
   4.60969         	   4.68633         	         3         
   4.68633         	   4.76297         	         1         
   4.76297         	   4.83961         	         3         
   4.83961         	   4.91625         	         1         
   4.91625         	   4.99289         	         1         
   4.99289         	   5.06953         	         0         
   5.06953         	   5.14617         	         0         
   5.14617         	   5.22281         	         1         
   5.22281         	   5.29945         	         0         
   5.29945         	   5.37609         	         0         
   5.37609         	   5.45273         	         0         
   5.45273         	   5.52937         	         0         
   5.52937         	   5.60601         	         0         
   5.60601         	   5.68265         	         0         
   5.68265         	   5.75929         	         0         
   5.75929         	   5.83593         	         0         
   5.83593         	   5.91257         	         1         
